         4230830 function calls (4160770 primitive calls) in 29.786 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.005    0.001    0.078    0.013 __init__.py:5(<module>)
        2    0.002    0.001    0.077    0.038 __init__.py:13(<module>)
     1352    0.019    0.000    0.076    0.000 path.py:363(iter_segments)
      612    0.002    0.000    0.075    0.000 transforms.py:547(inverse_transformed)
        2    0.028    0.014    0.073    0.037 backend_qt5.py:565(__init__)
     4696    0.015    0.000    0.073    0.000 transforms.py:2584(composite_transform_factory)
        1    0.066    0.066    0.073    0.073 _root.py:7(<module>)
    37367    0.061    0.000    0.072    0.000 sre_parse.py:194(__next)
     2606    0.035    0.000    0.072    0.000 core.py:2838(_update_from)
        1    0.002    0.002    0.071    0.071 __init__.py:21(<module>)
      394    0.006    0.000    0.071    0.000 __init__.py:1923(_by_version)
        2    0.000    0.000    0.070    0.035 core.py:1300(si)
        2    0.000    0.000    0.070    0.035 core.py:1255(to_system)
     3809    0.032    0.000    0.070    0.000 transforms.py:771(__init__)
      618    0.001    0.000    0.069    0.000 collections.py:751(set_edgecolor)
        2    0.000    0.000    0.069    0.034 core.py:1131(compose)
     1162    0.007    0.000    0.066    0.000 sre_compile.py:228(_compile_charset)
     1230    0.011    0.000    0.066    0.000 collections.py:680(_set_facecolor)
    50049    0.030    0.000    0.066    0.000 {method 'get' of 'dict' objects}
     1435    0.004    0.000    0.065    0.000 {method 'view' of 'numpy.ndarray' objects}
     2333    0.026    0.000    0.065    0.000 version.py:198(__init__)
        2    0.000    0.000    0.065    0.032 _base.py:998(cla)
   204285    0.065    0.000    0.065    0.000 artist.py:940(sticky_edges)
      705    0.012    0.000    0.065    0.000 core.py:2704(__new__)
     5122    0.022    0.000    0.065    0.000 collections.py:149(pop)
        1    0.002    0.002    0.064    0.064 rcsetup.py:15(<module>)
      790    0.004    0.000    0.064    0.000 transforms.py:2050(rotate_deg_around)
     5502    0.004    0.000    0.063    0.000 {next}
     1550    0.006    0.000    0.063    0.000 version.py:24(parse)
     9357    0.063    0.000    0.063    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       20    0.000    0.000    0.062    0.003 axis.py:1393(get_major_ticks)
     2722    0.008    0.000    0.062    0.000 markers.py:200(_recache)
     1688    0.004    0.000    0.062    0.000 __init__.py:2623(_get_metadata)
     1060    0.007    0.000    0.061    0.000 functools_lru_cache.py:120(wrapper)
   200163    0.061    0.000    0.061    0.000 {method 'startswith' of 'unicode' objects}
        1    0.003    0.003    0.061    0.061 _subplots.py:1(<module>)
14167/14045    0.026    0.000    0.061    0.000 core.py:1939(__hash__)
      198    0.000    0.000    0.061    0.000 __init__.py:3113(<genexpr>)
