#Title: ACRONYM II. The {beta} Pictoris Moving Group (Shkolnik+," 2017)""",,,,,,,,,,,,,,,,,
#Column,2MASS,(A16),2MASS name (HHMMSSss+DDMMSSs),[ucd=meta.id;meta.main],,,,,,,,,,,,,,
#Column,SpType,(a9),Spectral type,[ucd=src.spType],,,,,,,,,,,,,,
#Column,EW(Ha),(F5.1),[-73.6/3.9]? H{alpha} equivalent width ({AA}),[ucd=spect.line.eqWidth;em.line.Halpha],,,,,,,,,,,,,,
#Column,l_EW(Li),(A1),[<] Limit flag on EW(Li),[ucd=meta.code.error],,,,,,,,,,,,,,
#Column,EW(Li),(I3),[-39/920]? Li equivalent width ({AA}) [NULL integer written as an empty string],[ucd=spect.line.eqWidth],,,,,,,,,,,,,,
#Column,RV,(F6.2),[-25.6/23.5]? Radial velocity,[ucd=phys.veloc;pos.heliocentric],,,,,,,,,,,,,,
#Column,GType,(A5),"Gravity type (FLD-G, INT-G or VL-G) (G1)",[ucd=src.class],,,,,,,,,,,,,,
#Column,plx,(F5.1),[10.1/102.1]? Parallaxe {pi},[ucd=pos.parallax.trig],,,,,,,,,,,,,,
#Column,MmRV,(A2),Membership assessment of the RV (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmHa,(A1),Membership assessment of the H{alpha} emission (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmLi,(A1),Membership assessment of the Li absorption (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,BPMG,(A2),BPMG member? (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
2MASS,B-V,SpType,EW(Ha),l_EW(Li),EW(Li),RV,GType,plx,MmRV,MmHa,MmLi,BPMG,notes,2MASS,identifier,bib(B;V),binaries,bad B-V
2MASS J09360429+3733104,0.75,G5       ,     , ,   ,-1,---  ,25.6,  , , ,,OOR,2MASS J09360429+3733104,HD 82939                  ,,,
2MASS J09361593+3731456,1.735,M2       ,0, ,   ,-2.5,---  ,26.3,Y ,N,-,N,OOR,2MASS J09361593+3731456,MCC 549                   ,,,
2MASS J10141918+2104297,1.368,M0.7     ,-1,<,20,2.7,---  ,43.3,Y ,Y,?,Y,binary,2MASS J10141918+2104297,MCC 124                   ,,,
2MASS J10172689-5354265,1.73,M5       ,-8.3, ,510,14.8,---  ,57,Y ,Y,Y,Y,binary,2MASS J10172689-5354265,TWA 22                    ,,,
2MASS J10593834+2526155,,K4       ,     , ,   ,      ,---  ,46.8,- ,-,-,?,OOR,2MASS J10593834+2526155,HD 95174A                 ,,,
2MASS J10593870+2526138,,K5       ,     , ,   ,-3.5,---  ,47.5,Y ,-,-,Y,OOR,2MASS J10593870+2526138,HD 95174B                 ,,,
2MASS J11493184-7851011,,M1       ,-4.7, ,560,13.4,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J11493184-7851011,V* DZ Cha                 ,,,
2MASS J13545390-7121476,1.48,M2.5     ,-3.3, ,   ,5.7,---  ,     ,Y ,Y,-,Y,OOR,2MASS J13545390-7121476,UPM J1354-7121            ,,,
2MASS J14141700-1521125,1.682,M3.5     ,     , ,   ,-21.6,---  ,     ,N ,-,-,Y?,OOR,2MASS J14141700-1521125,L 836-122                 ,,,
2MASS J14142141-1521215,1.518,K5       ,-2.3, ,   ,-4.1,---  ,33.1,Y ,Y,-,Y,OOR,2MASS J14142141-1521215,HD 124498                 ,,,
2MASS J14252913-4113323,,M2.5     ,-7, ,685,-1.2,---  ,14.4,Y ,Y,Y,Y,OOR,2MASS J14252913-4113323,UCAC3 98-153320           ,,,
2MASS J15385679-5742190,,M5       ,-4.4, ,460,0.1,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J15385679-5742190,HD 139084B                ,,,
2MASS J15385757-5742273,0.803,K0       ,     , ,292,4.2,---  ,27.1,Y ,-,Y,Y,,2MASS J15385757-5742273,HD 139084                 ,2006A&A...460..695T;2012AcA....62...67K,,
2MASS J16181789-2836502,0.022,A0       ,     , ,   ,-13,---  ,24.2,  , , ,,OOR,2MASS J16181789-2836502,* d Sco                   ,,,
2MASS J16430128-1754274,1.36,M0.6     ,-2.1, ,364,-10,---  ,     ,Y ,Y,Y,Y,,2MASS J16430128-1754274,ASAS J164301-1754.4       ,2003AJ....125..984M;2011MNRAS.411..117K,,
2MASS J16572029-5343316,,M3       ,-2.5, ,   ,1.4,---  ,19.4,Y ,Y,-,Y,OOR,2MASS J16572029-5343316,TYC 8726-1327-1           ,,,
2MASS J17150219-3333398,,M0       ,-3, ,   ,-14.6,---  ,     ,N ,Y,-,Y?,OOR,2MASS J17150219-3333398,2MASS J17150219-3333398   ,,,
